City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
102,Tuatapere,NZ,2021-11-28 01:10:32,-46.1333,167.6833,62.38,44,0,5.77,clear sky
103,Opelousas,US,2021-11-28 01:10:32,30.5335,-92.0815,53.49,87,90,0.0,light intensity drizzle
104,Dikson,RU,2021-11-28 01:06:54,73.5069,80.5464,-12.93,97,100,9.01,overcast clouds
105,Hobart,AU,2021-11-28 01:10:33,-42.8794,147.3294,67.86,45,20,5.75,few clouds
106,Sambava,MG,2021-11-28 01:10:33,-14.2667,50.1667,74.82,86,10,3.76,light rain
107,Soldotna,US,2021-11-28 01:10:33,60.4878,-151.0583,6.82,78,90,0.0,light snow
108,Murdochville,CA,2021-11-28 01:10:34,48.9583,-65.5006,24.8,93,100,11.01,snow
109,Kruisfontein,ZA,2021-11-28 01:07:11,-34.0033,24.7314,59.81,71,50,6.42,scattered clouds
110,Tubuala,PA,2021-11-28 01:10:34,9.5167,-79.0333,77.11,83,100,6.17,overcast clouds
111,Hermanus,ZA,2021-11-28 01:09:33,-34.4187,19.2345,64.56,83,96,16.8,overcast clouds
112,Merauke,ID,2021-11-28 01:10:35,-8.4667,140.3333,86.68,63,100,3.58,overcast clouds
113,Bredasdorp,ZA,2021-11-28 01:10:35,-34.5322,20.0403,64.98,72,42,14.85,scattered clouds
114,Avera,US,2021-11-28 01:06:59,33.194,-82.5271,53.47,38,100,6.93,overcast clouds
115,Iqaluit,CA,2021-11-28 01:10:36,63.7506,-68.5145,21.18,90,100,11.7,light snow
116,Lompoc,US,2021-11-28 01:07:52,34.6391,-120.4579,64.71,52,1,3.44,clear sky
117,Plouzane,FR,2021-11-28 01:10:36,48.3833,-4.6167,43.12,84,90,10.36,light rain
118,Manggar,ID,2021-11-28 01:10:37,-2.8833,108.2667,76.5,86,100,7.61,heavy intensity rain
119,Qena,EG,2021-11-28 01:10:37,26.1615,32.7183,67.21,20,5,3.24,clear sky
120,Karpathos,GR,2021-11-28 01:10:37,35.507,27.2132,66.16,88,88,6.91,overcast clouds
121,Atyrau,KZ,2021-11-28 01:10:00,47.1167,51.8833,33.82,60,40,15.66,scattered clouds
122,Severo-Kurilsk,RU,2021-11-28 01:08:58,50.6789,156.125,29.26,65,80,29.59,broken clouds
123,Saint-Philippe,RE,2021-11-28 01:10:38,-21.3585,55.7679,76.59,83,80,5.12,light rain
124,Price,US,2021-11-28 01:10:39,39.5994,-110.8107,38.46,38,1,0.0,clear sky
125,Nome,US,2021-11-28 01:10:39,64.5011,-165.4064,-9.33,64,1,3.44,clear sky
126,Matlock,GB,2021-11-28 01:10:39,53.1384,-1.5556,32.81,77,100,12.77,overcast clouds
127,Souillac,MU,2021-11-28 01:10:40,-20.5167,57.5167,71.98,88,20,5.75,few clouds
