City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Sarangani,PH,83.28,moderate rain,5.4033,125.4636,Ballistic Islet
311,Kahului,US,83.46,clear sky,20.8947,-156.47,Maui Seaside Hotel
313,Itapirapua,BR,75.76,overcast clouds,-15.8233,-50.6133,Hotel Nossa Senhora Aparecida
317,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
318,San Policarpo,PH,82.58,overcast clouds,12.1791,125.5072,Agapita M. Nicart
340,Trairi,BR,80.08,broken clouds,-3.2778,-39.2689,janelas do mar
345,Sola,VU,81.68,few clouds,-13.8833,167.55,Leumerus Bungalows
348,Maceio,BR,81.84,light rain,-9.6658,-35.7353,Poutur Pousada
350,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
352,Kapoeta,SS,78.58,light rain,4.7717,33.5903,Eastgate Hotel
